x,y
-0.0525731,0.0850651
-0.0551223,0.185033
-0.0303288,0.28191
0.00818628,0.374196
0.053615,0.463281
0.102588,0.550468
0.153406,0.636594
0.205194,0.722139
0.257496,0.807371
0.310074,0.892433
0.362799,0.977404
0.415604,1.06233
0.468453,1.14722
0.521326,1.2321
0.574212,1.31697
0.627106,1.40184
0.680003,1.4867
0.732904,1.57156
0.785806,1.65642
0.838708,1.74128
0.891612,1.82614
0.944515,1.911
0.997419,1.99586
1.02497,2.09199
1.03846,2.19108
1.04454,2.29089
1.04676,2.39087
1.04697,2.49087
1.04614,2.59086
1.04477,2.69085
1.04311,2.79084
1.04131,2.89082
1.03943,2.99081
1.03751,3.09079
1.03556,3.19077
1.03361,3.29075
1.03165,3.39073
1.02969,3.49071
1.02772,3.59069
1.02576,3.69067
1.02379,3.79065
1.02182,3.89063
1.01986,3.99061
1.01789,4.0906
1.01592,4.19058
1.01396,4.29056
1.01199,4.39054
1.01002,4.49052
1.00806,4.5905
1.00609,4.69048
1.00412,4.79046
1.00216,4.89044
1.00019,4.99042
1.07011,5.06191
1.16259,5.09996
1.26094,5.11807
1.36065,5.1256
1.46063,5.12764
1.56063,5.12685
1.66061,5.12462
1.76056,5.12164
1.8605,5.11827
1.96044,5.1147
2.06037,5.11104
2.1603,5.10731
2.26023,5.10357
2.36016,5.0998
2.46009,5.09603
2.56002,5.09226
2.65995,5.08848
2.75988,5.0847
2.85981,5.08093
2.95974,5.07715
3.05966,5.07337
3.15959,5.06959
3.25952,5.06581
3.35945,5.06203
3.45938,5.05825
3.55931,5.05448
3.65924,5.0507
3.75916,5.04692
3.85909,5.04314
3.95902,5.03936
4.05895,5.03558
4.15888,5.03181
4.25881,5.02803
4.35874,5.02425
4.45866,5.02047
4.55859,5.01669
4.65852,5.01291
4.75845,5.00913
4.85838,5.00536
4.95831,5.00158
5.03063,5.07064
5.06967,5.1627
5.08889,5.26084
5.09761,5.36045
5.10092,5.4604
5.10147,5.5604
5.1006,5.66039
5.099,5.76038
5.09704,5.86036
5.09489,5.96034
5.09264,6.06031
5.09033,6.16029
5.08801,6.26026
5.08567,6.36023
5.08332,6.46021
5.08097,6.56018
5.07862,6.66015
5.07627,6.76012
5.07392,6.86009
5.07156,6.96007
5.06921,7.06004
5.06686,7.16001
5.0645,7.25998
5.06215,7.35996
5.0598,7.45993
5.05744,7.5599
5.05509,7.65987
5.05273,7.75984
5.05038,7.85982
5.04803,7.95979
5.04567,8.05976
5.04332,8.15973
5.04097,8.25971
5.03861,8.35968
5.03626,8.45965
5.03391,8.55963
5.03155,8.6596
5.0292,8.75957
5.02685,8.85954
5.02449,8.95952
5.02214,9.05949
5.01979,9.15946
5.01743,9.25943
5.01508,9.35941
5.01273,9.45938
5.01037,9.55935
5.00802,9.65933
5.00567,9.7593
5.00331,9.85927
5.00096,9.95924
4.90292,9.97894
4.81428,9.93265
4.74637,9.85924
4.69212,9.77523
4.64543,9.6868
4.6027,9.59639
4.56199,9.50505
4.52233,9.41326
4.48318,9.32124
4.4443,9.2291
4.40556,9.13692
4.36688,9.0447
4.32824,8.95246
4.28962,8.86022
4.251,8.76798
4.21239,8.67574
4.17378,8.58349
4.13517,8.49124
4.09656,8.399
4.05796,8.30675
4.01935,8.2145
3.98075,8.12226
3.94214,8.03001
3.90353,7.93776
3.86493,7.84551
3.82632,7.75327
3.78771,7.66102
3.74911,7.56877
3.7105,7.47653
3.67189,7.38428
3.63329,7.29203
3.59468,7.19979
3.55607,7.10754
3.51747,7.01529
3.47886,6.92304
3.44026,6.8308
3.40165,6.73855
3.36304,6.6463
3.32444,6.55406
3.28583,6.46181
3.24722,6.36956
3.20862,6.27732
3.17001,6.18507
3.1314,6.09282
3.0928,6.00057
3.05419,5.90833
3.01558,5.81608
2.97698,5.72383
2.93837,5.63159
2.89977,5.53934
2.86116,5.44709
2.82255,5.35485
2.78395,5.2626
2.74534,5.17035
2.70673,5.0781
2.66813,4.98586
2.62952,4.89361
2.59091,4.80136
2.55231,4.70912
2.5137,4.61687
2.4751,4.52462
2.43649,4.43237
2.39788,4.34013
2.35928,4.24788
2.32067,4.15563
2.28206,4.06339
2.24346,3.97114
2.20485,3.87889
2.16624,3.78665
2.12764,3.6944
2.08903,3.60215
2.05042,3.5099
2.01182,3.41766
1.97321,3.32541
1.93461,3.23316
1.896,3.14091
1.85739,3.04867
1.81879,2.95642
1.78018,2.86417
1.74157,2.77193
1.70297,2.67968
1.66436,2.58743
1.62575,2.49518
1.58715,2.40294
1.54854,2.31069
1.50993,2.21844
1.47133,2.12619
1.43272,2.03395
1.39411,1.9417
1.35551,1.84945
1.3169,1.75721
1.27829,1.66496
1.23969,1.57271
1.20108,1.48047
1.16247,1.38822
1.12387,1.29597
1.08526,1.20372
1.04665,1.11148
1.00805,1.01923
